Symbol,Current Price
A,161.6999969482422
AA,47.31999969482422
AAC,9.819999694824219
AACG,1.9299999475479126
AADI,24.350000381469727
AAIC,3.7149999141693115
AAL,19.189899444580078
AAMC,24.0
AAME,4.099999904632568
AAN,25.2549991607666
AAOI,6.025000095367432
AAON,77.19000244140625
AAP,231.0113983154297
AAPL,157.36990356445312
AAQC,9.770000457763672
AAT,37.83000183105469
AATC,7.039999961853027
AAU,0.3734999895095825
AAWW,89.58999633789062
AB,55.005699157714844
ABB,35.619998931884766
ABBV,116.97000122070312
ABC,123.76499938964844
ABCB,52.65999984741211
ABCL,15.102999687194824
ABCM,22.899999618530273
ABEO,0.7721999883651733
ABEV,3.0899999141693115
ABG,164.67999267578125
ABGI,9.770000457763672
ABIO,2.299999952316284
ABM,47.27000045776367
ABMD,338.0199890136719
ABNB,200.02999877929688
ABOS,10.289999961853027
ABR,18.434999465942383
ABSI,11.3100004196167
ABST,9.670000076293945
ABT,128.1999969482422
ABTX,44.369998931884766
ABUS,3.3498001098632812
ABVC,3.450000047683716
AC,41.599998474121094
ACA,56.22999954223633
ACAD,19.06999969482422
ACAH,9.75
ACB,7.014999866485596
ACBA,10.079999923706055
ACBI,29.440000534057617
ACC,53.41999816894531
ACCD,31.875
ACCO,8.470000267028809
ACEL,12.460000038146973
ACER,2.3334999084472656
ACET,9.34000015258789
ACEV,9.949999809265137
ACGL,42.02000045776367
ACH,13.119999885559082
ACHC,64.55000305175781
ACHL,5.545000076293945
ACHR,5.960000038146973
ACHV,7.659999847412109
ACI,34.90999984741211
ACII,9.760000228881836
ACIU,5.465000152587891
ACIW,32.84000015258789
ACKIT,10.079999923706055
ACLS,63.02000045776367
ACM,72.83999633789062
ACMR,96.22000122070312
ACN,371.8800048828125
ACNB,28.610000610351562
ACOR,3.444999933242798
ACQR,9.760000228881836
ACR,14.761699676513672
ACRE,15.460000038146973
ACRO,9.699999809265137
ACRS,13.600000381469727
ACRX,0.6705999970436096
ACST,1.409999966621399
ACT,22.799999237060547
ACTD,9.825599670410156
ACTG,5.449999809265137
ACU,36.255001068115234
ACVA,21.592899322509766
ACXP,4.650100231170654
ACY,42.119998931884766
ADAG,9.5600004196167
ADAP,4.179999828338623
ADBE,673.6799926757812
ADC,70.11000061035156
ADCT,24.06999969482422
ADER,9.880000114440918
ADES,7.118100166320801
ADEX,9.762499809265137
ADF,10.130000114440918
ADGI,19.235000610351562
ADI,187.77110290527344
ADIL,3.1600000858306885
ADM,66.69000244140625
ADMA,1.4850000143051147
ADMP,0.9104999899864197
ADMS,8.175000190734863
ADN,8.300000190734863
ADNT,45.9900016784668
ADOC,10.199999809265137
ADP,237.52000427246094
ADPT,29.9950008392334
ADRA,9.819999694824219
ADS,74.80000305175781
ADSK,323.19000244140625
ADT,9.095000267028809
ADTN,21.920000076293945
ADTX,1.0679999589920044
ADUS,103.2300033569336
ADV,8.40999984741211
ADVM,2.055000066757202
ADXN,7.5
ADXS,0.38429999351501465
AE,29.916500091552734
AEAC,9.765000343322754
AEE,84.8499984741211
AEG,4.925899982452393
AEHL,2.7200000286102295
AEHR,19.540000915527344
AEI,1.6399999856948853
AEIS,87.48999786376953
AEL,35.650001525878906
AEM,55.75
AEMD,2.7699999809265137
AENZ,1.875
AEO,28.235000610351562
AEP,83.04000091552734
AER,63.08000183105469
AERI,10.350000381469727
AES,24.415000915527344
AESE,2.1649999618530273
AEVA,8.324999809265137
AEY,1.940000057220459
AEYE,7.929999828338623
AEZS,0.4900999963283539
AFAQ,9.760000228881836
AFBI,14.75
AFCG,23.77989959716797
AFG,143.68499755859375
AFI,2.255000114440918
AFIB,3.5178000926971436
AFIN,8.350000381469727
AFL,56.20500183105469
AFMD,6.631700038909912
AFRM,143.42529296875
AFTR,9.734999656677246
AFYA,14.539999961853027
AG,13.220000267028809
AGAC,9.739999771118164
AGBA,11.0600004196167
AGC,13.864999771118164
AGCB,10.157600402832031
AGCO,121.9800033569336
AGE,0.7601000070571899
AGEN,3.4600000381469727
AGFS,1.8799999952316284
AGFY,18.610000610351562
AGGR,9.770000457763672
AGI,8.404999732971191
AGIL,10.380000114440918
AGIO,39.1150016784668
AGL,24.219999313354492
AGLE,6.519999980926514
AGM,128.2449951171875
AGMH,10.630000114440918
AGNC,15.875
AGO,53.47999954223633
AGR,51.22999954223633
AGRI,2.159899950027466
AGRO,9.204999923706055
AGRX,0.6546000242233276
AGS,7.440000057220459
AGTC,2.7149999141693115
AGTI,23.71579933166504
AGX,43.06999969482422
AGYS,44.45000076293945
AHCO,23.575000762939453
AHH,14.739999771118164
AHPA,9.970000267028809
AHPI,4.900000095367432
AHT,12.6899995803833
AI,41.869998931884766
AIG,56.345001220703125
AIH,3.5399999618530273
AIHS,0.6765000224113464
AIKI,0.7300000190734863
AIM,1.5
AIMC,60.2599983215332
AIN,87.30000305175781
AINC,22.30500030517578
AINV,13.0600004196167
AIP,22.875
AIR,36.83000183105469
AIRC,53.54999923706055
AIRG,10.609999656677246
AIRI,1.0449999570846558
AIRS,16.084999084472656
AIRT,29.18470001220703
AIT,105.9800033569336
AIV,7.974999904632568
AIZ,160.02000427246094
AJG,163.83419799804688
AJRD,43.87049865722656
AJX,13.470000267028809
AKA,14.539999961853027
AKAM,110.25
AKBA,2.757999897003174
AKIC,9.75
AKR,22.3799991607666
AKRO,26.079999923706055
AKTS,7.199999809265137
AKTX,1.5800000429153442
AKU,1.8200000524520874
AKUS,8.09000015258789
AKYA,12.6899995803833
AL,45.27000045776367
ALAC,11.630000114440918
ALB,273.485107421875
