Symbol,Company,Industry,Market Cap
DH,Definitive Healthcare,Health Information Services,2.69B
DHBC,DHB Capital,Blank Check / SPAC,352.48M
DHC,Diversified Healthcare Trust,"Equity Real Estate 
Investment Trusts...",771.95M
DHCA,DHC Acquisition,Blank Check / SPAC,377.34M
DHHC,DiamondHead Holdings,Blank Check / SPAC,421.76M
DHI,D.R. Horton,Household Durables,35.70B
DHIL,Diamond Hill Investment Group,Capital Markets,708.75M
DHR,Danaher,Health Care Equipment & Supplies,221.68B
DHT,DHT Holdings,"Oil, Gas & Consumable Fuels",928.45M
DHX,DHI Group,Interactive Media & Services,255.64M
DIBS,1stdibs.com,Internet Retail,486.70M
DICE,DICE Therapeutics,Biotechnology,1.15B
DIDI,DiDi Global,Software-Application,40.01B
DILA,DILA Capital Acquisition,Blank Check / SPAC,73.98M
DIN,Dine Brands Global,"Hotels, Restaurants & Leisure",1.34B
DIOD,Diodes Incorporated,Semiconductors & Semiconductor Equipment,4.81B
DIS,Disney,Entertainment,275.48B
DISA,Disruptive Acquisition I,Blank Check / SPAC,335.16M
DISCA,Discovery,Media,12.27B
DISCB,Discovery,Media,8.24B
DISCK,Discovery,Media,13.36B
DISH,DISH Network,Media,17.79B
DIT,AMCON Distributing,Distributors,100.29M
DJCO,Daily Journal,Media,540.70M
DK,Delek US Holdings,"Oil, Gas & Consumable Fuels",1.21B
DKDCA,Data Knights Acquisition,Blank Check / SPAC,150.95M
DKL,Delek Logistics Partners,"Oil, Gas & Consumable Fuels",2.04B
DKNG,DraftKings,"Hotels, Restaurants & Leisure",14.27B
DKS,Dick's Sporting Goods,Specialty Retail,11.29B
DLA,Delta Apparel,"Textiles, Apparel & Luxury Goods",206.24M
DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",8.77B
DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,252.54M
DLHC,DLH Holdings,Professional Services,164.97M
DLNG,Dynagas LNG Partners,"Oil, Gas & Consumable Fuels",114.05M
DLO,DLocal,Software-Infrastructure,9.25B
DLPN,Dolphin Entertainment,Entertainment,69.37M
DLR,Digital Realty Trust,"Equity Real Estate 
Investment Trusts...",47.02B
DLTH,Duluth Holdings,Internet & Direct Marketing Retail,500.64M
DLTR,Dollar Tree,Multiline Retail,31.85B
DLX,Deluxe Corporation,Commercial Services & Supplies,1.59B
DM,Desktop Metal,Computer Hardware,2.03B
DMAC,DiaMedica Therapeutics,Biotechnology,96.50M
DMLP,Dorchester Minerals,"Oil, Gas & Consumable Fuels",635.62M
DMRC,Digimarc,Software,756.08M
DMS,Digital Media Solutions,Advertising Agencies,328.02M
DMTK,DermTech,Biotechnology,591.08M
DMYQ,dMY Technology Group IV,Blank Check / SPAC,484.94M
DNA,Ginkgo Bioworks,Biotechnology,18.28B
DNAA,Social Capital Suvretta Holdings I,Blank Check / SPAC,319.01M
DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,317.41M
DNAC,Social Capital Suvretta Holdings III,Blank Check / SPAC,316.61M
DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,316.45M
DNAY,Codex DNA,Medical Devices,200.17M
DNB,Dun & Bradstreet,Professional Services,7.84B
DNLI,Denali Therapeutics,Biotechnology,5.49B
DNMR,Danimer Scientific,Specialty Chemicals,1.30B
DNN,Denison Mines,"Oil, Gas & Consumable Fuels",1.41B
DNOW,NOW Inc.,Trading Companies & Distributors,1.10B
DNUT,Krispy Kreme,Grocery Stores,2.47B
DNZ,D & Z Media Acquisition,Blank Check / SPAC,350.75M
DOC,Physicians Realty Trust,"Equity Real Estate 
Investment Trusts...",4.02B
DOCN,DigitalOcean,Software-Infrastructure,10.47B
DOCS,Doximity,Health Information Services,10.75B
DOCU,DocuSign,Software,47.36B
DOGZ,Dogness (International),"Textiles, Apparel & Luxury Goods",175.55M
DOLE,Dole,Farm Products,1.25B
DOMA,Doma Holdings,Shell Companies,2.02B
DOMO,"Domo, Inc.",Software,2.27B
DOOO,BRP Inc.,Leisure Products,6.80B
DOOR,Masonite International,Building Products,2.71B
DORM,Dorman Products,Auto Components,3.84B
DOV,Dover,Machinery,25.18B
DOW,Dow Inc,Chemicals,43.80B
DOX,Amdocs,IT Services,9.15B
DOYU,DouYu,Entertainment,973.23M
DPRO,Draganfly,Aerospace & Defense,83.01M
DPW,Ault Global Holdings,Electrical Equipment,127.63M
DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",19.26B
DQ,Daqo New Energy,Semiconductors & Semiconductor Equipment,4.53B
DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,317.37M
DRD,DRDGOLD Limited,Metals & Mining,791.23M
DRE,Duke Realty,"Equity Real Estate 
Investment Trusts...",22.43B
DRH,DiamondRock Hospitality,"Equity Real Estate 
Investment Trusts...",2.03B
DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",19.22B
DRIO,DarioHealth,Health Care Equipment & Supplies,260.86M
DRMA,Dermata Therapeutics,Biotechnology,19.99M
DRNA,Dicerna Pharmaceuticals,Biotechnology,2.96B
DRQ,Dril-Quip,Energy Equipment & Services,726.12M
DRRX,DURECT Corporation,Pharmaceuticals,246.84M
DRTT,DIRTT Environmental Solutions,Building Products,216.49M
DRUG,Bright Minds Biosciences,Biotechnology,53.85M
DRVN,Driven Brands,Auto & Truck Dealerships,5.23B
DS,Drive Shack,"Hotels, Restaurants & Leisure",185.57M
DSAC,Duddell Street Acquisition,Blank Check / SPAC,216.78M
DSAQ,Direct Selling Acquisition,Blank Check / SPAC,249.50M
DSEY,Diversey Holdings,Personal Services,4.25B
DSGN,Design Therapeutics,Biotechnology,1.01B
DSGX,Descartes Systems Group,Software,7.14B
DSKE,Daseke,Road & Rail,647.39M
DSP,Viant Technology,Software-Application,138.20M
DSPG,DSP Group,Semiconductors & Semiconductor Equipment,533.07M
DSS,DSS,Commercial Services & Supplies,70.58M
DSWL,Deswell Industries,"Electronic Equipment, Instruments & C...",79.68M
DSX,Diana Shipping,Marine,381.24M
DT,Dynatrace,Software,18.11B
DTC,Solo Brands,Internet Retail,1.00B
DTE,DTE Energy,Multi-Utilities,21.87B
DTEA,DAVIDsTEA,Specialty Retail,109.13M
DTIL,Precision BioSciences,Biotechnology,572.43M
DTM,DT Midstream,Oil & Gas Midstream,4.56B
DTOC,Digital Transformation Opportunities,Blank Check / SPAC,404.37M
DTRT,DTRT Health Acquisition,Blank Check / SPAC,250.25M
DTSS,Datasea,Software,37.19M
DTST,Data Storage Corporation,Information Technology Services,25.82M
DUK,Duke Energy,Electric Utilities,77.33B
DUNE,Dune Acquisition,Blank Check / SPAC,214.20M
DUO,Fangdd Network Group,Interactive Media & Services,58.93M
DUOL,Duolingo,Software-Application,4.96B
DUOT,Duos Technologies Group,Software,20.57M
DV,DoubleVerify,Software-Application,5.10B
DVA,DaVita,Health Care Providers & Services,10.63B
DVAX,Dynavax Technologies,Biotechnology,1.91B
DVD,Dover Motorsports,"Hotels, Restaurants & Leisure",131.12M
DVN,Devon Energy,"Oil, Gas & Consumable Fuels",29.51B
DWAC,Digital World Acquisition,Blank Check / SPAC,1.47B
DWIN,Delwinds Insurance Acquisition,Blank Check / SPAC,254.54M
DWSN,Dawson Geophysical,Energy Equipment & Services,54.62M
DX,Dynex Capital,"Mortgage Real Estate Investment 
Trus...",633.40M
DXC,DXC Technology,IT Services,7.93B
DXCM,DexCom,Health Care Equipment & Supplies,57.99B
DXF,Dunxin Financial Holdings,Diversified Financial Services,27.14M
DXLG,Destination XL Group,Specialty Retail,492.51M
DXPE,DXP Enterprises,Trading Companies & Distributors,580.52M
DXR,Daxor,Health Care Equipment & Supplies,43.77M
DXYN,Dixie Group,Household Durables,106.18M
DY,Dycom Industries,Construction & Engineering,2.88B
DYAI,Dyadic International,Biotechnology,106.14M
DYN,Dyne Therapeutics,Independent Power and Renewable Elect...,758.50M
DYNS,Dynamics Special Purpose,Blank Check / SPAC,293.03M
DYNT,Dynatronics,Health Care Equipment & Supplies,21.18M
DZSI,"DZS, Inc",Communications Equipment,375.62M
E,Eni SpA,"Oil, Gas & Consumable Fuels",49.73B
EA,Electronic Arts,Entertainment,36.41B
EAC,Edify Acquisition,Blank Check / SPAC,336.72M
EAF,GrafTech International,Electrical Equipment,3.34B
EAR,Eargo,Medical Devices,215.95M
EARN,Ellington Residential Mortgage,"Mortgage Real Estate Investment 
Trus...",147.84M
EAST,Eastside Distilling,Beverages,28.31M
EAT,Brinker International,"Hotels, Restaurants & Leisure",1.74B
EB,Eventbrite,Interactive Media & Services,1.56B
EBAC,European Biotech Acquisition,Blank Check / SPAC,159.07M
EBAY,eBay Inc.,Internet & Direct Marketing Retail,44.74B
EBC,Eastern Bankshares,Banks,4.00B
EBET,Esports Technologies,Gambling,428.13M
EBF,"Ennis, Inc.",Commercial Services & Supplies,519.03M
EBIX,"Ebix, Inc.",Software,1.06B
EBMT,Eagle Bancorp Montana,Banks,152.48M
EBON,Ebang International,Computer Hardware,295.48M
EBR,Centrais Eletricas Brasileiras,Electric Utilities,9.00B
EBS,Emergent BioSolutions,Biotechnology,2.32B
EBTC,Enterprise Bancorp,Banks,489.03M
EC,Ecopetrol,"Oil, Gas & Consumable Fuels",27.82B
ECC,Eagle Point Credit,n/a,530.52M
ECHO,Echo Global Logistics,Air Freight & Logistics,1.28B
ECL,Ecolab,Chemicals,66.73B
ECOL,US Ecology,Commercial Services & Supplies,1.14B
ECOM,ChannelAdvisor,Software,764.74M
ECOR,electroCore,Health Care Equipment & Supplies,52.42M
ECPG,Encore Capital Group,Consumer Finance,1.74B
ECVT,Ecovyst,Specialty Chemicals,1.40B
ED,Consolidated Edison,Multi-Utilities,28.01B
EDAP,EDAP TMS S.A.,Health Care Equipment & Supplies,182.90M
EDIT,Editas Medicine,Biotechnology,2.30B
EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,526.47M
EDNC,Endurance Acquisition,Blank Check / SPAC,245.75M
EDR,Endeavor Group Holdings,Entertainment,7.43B
EDRY,EuroDry,Marine,58.05M
EDSA,Edesa Biotech,Biotechnology,83.91M
EDTK,Skillful Craftsman,Education & Training Services,18.63M
EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,143.46M
EDU,New Oriental Education & Technology,Diversified Consumer Services,4.23B
EDUC,Educational Development,Distributors,83.01M
EEFT,Euronet Worldwide,IT Services,5.92B
EEIQ,Elite Education Group,Diversified Consumer Services,32.68M
EEX,Emerald Holding,Media,290.28M
EFC,Ellington Financial,"Mortgage Real Estate Investment 
Trus...",1.01B
EFOI,Energy Focus,Electrical Equipment,11.75M
EFSC,Enterprise Financial Services,Banks,1.85B
EFTR,eFFECTOR Therapeutics,Biotechnology,302.38M
EFX,Equifax,Professional Services,34.33B
EGAN,eGain Corporation,Software,309.80M
EGBN,Eagle Bancorp - Maryland,Banks,1.94B
EGGF,EG Acquisition,Blank Check / SPAC,273.09M
EGHT,"8x8, Inc.",Software,2.37B
EGLE,Eagle Bulk Shipping,Marine,520.40M
EGLX,Enthusiast Gaming,Electronic Gaming & Multimedia,541.71M
EGO,Eldorado Gold,Metals & Mining,1.69B
EGP,EastGroup Properties,"Equity Real Estate 
Investment Trusts...",8.39B
EGRX,Eagle Pharmaceuticals,Biotechnology,653.96M
EGY,VAALCO Energy,"Oil, Gas & Consumable Fuels",198.69M
EH,EHang Holdings,Aerospace & Defense,1.21B
EHC,Encompass Health,Health Care Providers & Services,6.30B
EHTH,eHealth,Insurance,591.62M
EIC,Eagle Point Income,n/a,0.00
EIG,Employers Holdings,Insurance,1.14B
EIGR,Eiger BioPharmaceuticals,Biotechnology,222.54M
EIX,Edison International,Electric Utilities,24.84B
EJFA,EJF Acquisition,Blank Check / SPAC,358.66M
EJH,E-home Household Service Holdings Ltd,Specialty Business Services,77.57M
EKSO,Ekso Bionics Holdings,Health Care Equipment & Supplies,42.17M
EL,Estee Lauder,Personal Products,125.58B
ELA,Envela,Specialty Retail,109.31M
ELAN,Elanco Animal Health,Pharmaceuticals,15.06B
ELDN,Eledon Pharmaceuticals,Biotechnology,73.82M
ELEV,Elevation Oncology,Biotechnology,150.97M
ELF,e.l.f. Beauty,Personal Products,1.64B
ELLO,Ellomay Capital,Independent Power and Renewable Elect...,424.21M
ELMD,Electromed,Health Care Equipment & Supplies,101.64M
ELMS,Electric Last Mile,Auto Manufacturers,955.64M
ELOX,Eloxx Pharmaceuticals,Pharmaceuticals,56.50M
ELP,Companhia Paranaense de Energia,Electric Utilities,14.50B
ELS,Equity LifeStyle Properties,"Equity Real Estate 
Investment Trusts...",15.48B
ELSE,Electro-Sensors,"Electronic Equipment, Instruments & C...",18.95M
ELTK,Eltek,"Electronic Equipment, Instruments & C...",26.98M
ELVT,Elevate Credit,Consumer Finance,109.76M
ELY,Callaway Golf,Leisure Products,5.15B
ELYM,Eliem Therapeutics,Biotechnology,462.84M
ELYS,Elys Game Technology,Gambling,78.51M
EM,Smart Share Global,Personal Services,618.60M
EMAN,eMagin,Semiconductors & Semiconductor Equipment,146.09M
EMBK,Embark Technology,Shell Companies,374.62M
EMCF,Emclaire Financial,Banks,81.47M
EME,EMCOR Group,Construction & Engineering,6.95B
EMKR,EMCORE Corporation,Communications Equipment,293.60M
EML,Eastern Company,Machinery,150.63M
EMN,Eastman Chemical,Chemicals,15.69B
EMR,Emerson Electric,Electrical Equipment,56.32B
EMX,EMX Royalty,Metals & Mining,310.58M
ENB,Enbridge,"Oil, Gas & Consumable Fuels",80.73B
ENBL,Enable Midstream Partners,"Oil, Gas & Consumable Fuels",3.34B
ENDP,Endo International,Pharmaceuticals,1.45B
ENFA,890 5th Avenue Partners,Blank Check / SPAC,366.05M
ENFN,Enfusion,Software-Application,2.05B
ENG,ENGlobal,Energy Equipment & Services,73.23M
ENIA,Enel Americas,Electric Utilities,14.18B
ENIC,Enel Chile,Electric Utilities,3.14B
ENJY,Enjoy Technology,Specialty Retail,597.05M
ENLC,EnLink Midstream,"Oil, Gas & Consumable Fuels",3.52B
ENLV,Enlivex Therapeutics,Software,131.29M
ENNV,ECP Environmental Growth Opportunities,Blank Check / SPAC,428.45M
ENOB,Enochian Biosciences,Biotechnology,531.60M
ENPC,Executive Network Partnering,Shell Companies,436.29M
ENPH,Enphase Energy,Semiconductors & Semiconductor Equipment,34.01B
ENR,Energizer Holdings,Household Products,2.68B
ENS,EnerSys,Electrical Equipment,3.30B
ENSC,Ensysce Biosciences,Biotechnology,33.50M
ENSG,The Ensign Group,Health Care Providers & Services,4.50B
ENSV,Enservco,Energy Equipment & Services,12.58M
ENTA,Enanta Pharmaceuticals,Biotechnology,1.69B
ENTG,Entegris,Semiconductors & Semiconductor Equipment,20.27B
ENTX,Entera Bio,Biotechnology,97.87M
ENV,Envestnet,Software,4.30B
ENVA,Enova International,Consumer Finance,1.46B
ENVB,Enveric Biosciences,Biotechnology,32.15M
ENVI,Environmental Impact Acquisition,Blank Check / SPAC,257.71M
ENVX,Enovix,Electrical Equipment & Parts,4.94B
ENZ,Enzo Biochem,Health Care Providers & Services,155.59M
EOCW,Elliott Opportunity II,Blank Check / SPAC,644.52M
EOG,EOG Resources,"Oil, Gas & Consumable Fuels",53.51B
EOLS,Evolus,Pharmaceuticals,332.91M
EOSE,Eos Energy Enterprises,Electrical Equipment & Parts,500.74M
EPAC,Enerpac Tool Group,Machinery,1.38B
EPAM,EPAM Systems,IT Services,34.09B
EPAY,Bottomline Technologies,Software,2.08B
EPC,Edgewell Personal Care,Personal Products,2.46B
EPD,Enterprise Products Partners,"Oil, Gas & Consumable Fuels",48.06B
EPHY,Epiphany Technology Acquisition,Blank Check / SPAC,500.39M
EPIX,ESSA Pharma,Biotechnology,573.34M
EPM,Evolution Petroleum,"Oil, Gas & Consumable Fuels",181.27M
EPR,EPR Properties,"Equity Real Estate 
Investment Trusts...",3.77B
EPRT,Essential Properties Realty Trust,"Equity Real Estate 
Investment Trusts...",3.42B
EPSN,Epsilon Energy,"Oil, Gas & Consumable Fuels",119.13M
EPWR,Empowerment & Inclusion Capital I,Blank Check / SPAC,337.07M
EPZM,Epizyme,Biotechnology,363.63M
EQ,Equillium,Biotechnology,149.39M
EQBK,Equity Bancshares,Banks,586.75M
EQC,Equity Commonwealth,"Equity Real Estate 
Investment Trusts...",3.18B
EQD,Equity Distribution Acquisition,Blank Check / SPAC,509.48M
EQH,Equitable Holdings,Diversified Financial Services,13.82B
EQHA,EQ Health Acquisition,Blank Check / SPAC,268.54M
EQIX,Equinix,"Equity Real Estate 
Investment Trusts...",70.19B
EQNR,Equinor,"Oil, Gas & Consumable Fuels",84.42B
EQOS,EQONEX,Capital Markets,163.22M
EQR,Equity Residential,"Equity Real Estate 
Investment Trusts...",32.55B
EQS,Equus Total Return,Capital Markets,31.09M
EQT,EQT Corporation,"Oil, Gas & Consumable Fuels",8.05B
EQX,Equinox Gold Corp.,Metals & Mining,2.21B
ERAS,Erasca,Biotechnology,1.94B
ERES,East Resources Acquisition,Blank Check / SPAC,426.51M
ERF,Enerplus,"Oil, Gas & Consumable Fuels",2.69B
ERIC,Ericsson,Communications Equipment,33.88B
ERIE,Erie Indemnity,Insurance,11.16B
ERII,Energy Recovery,Machinery,1.28B
ERJ,Embraer,Aerospace & Defense,2.68B
ERO,Ero Copper,Metals & Mining,1.59B
ERYP,Erytech Pharma,Biotechnology,71.71M
ES,Eversource Energy,Electric Utilities,29.23B
ESBA,Empire State Realty OP,"Equity Real Estate 
Investment Trusts...",2.81B
ESBK,Elmira Savings Bank,Thrifts & Mortgage Finance,80.29M
ESCA,Escalade,Leisure Products,263.04M
ESE,ESCO Technologies,Machinery,2.39B
ESEA,Euroseas,Marine,177.83M
ESGC,Eros STX Global,Entertainment,159.80M
ESGR,Enstar Group,Insurance,4.32B
ESI,Element Solutions,Chemicals,6.13B
ESLT,Elbit Systems,Aerospace & Defense,6.75B
ESM,ESM Acquisition,Blank Check / SPAC,373.32M
ESMT,EngageSmart,Software-Application,3.29B
ESNT,Essent Group,Thrifts & Mortgage Finance,4.99B
ESP,Espey Manufacturing & Electronics,Electrical Equipment,38.76M
ESPR,Esperion Therapeutics,Biotechnology,211.97M
ESQ,Esquire Financial Holdings,Banks,275.92M
ESRT,Empire State Realty Trust,"Equity Real Estate 
Investment Trusts...",1.72B
ESS,Essex Property Trust,"Equity Real Estate 
Investment Trusts...",22.80B
ESSA,ESSA Bancorp,Thrifts & Mortgage Finance,181.92M
ESSC,East Stone Acquisition,Blank Check / SPAC,180.04M
ESTA,Establishment Labs Holdings,Health Care Equipment & Supplies,1.51B
ESTC,Elastic,Software,14.20B
ESTE,Earthstone Energy,"Oil, Gas & Consumable Fuels",946.70M
ESXB,Community Bankers Trust,Banks,277.21M
ET,Energy Transfer LP,"Oil, Gas & Consumable Fuels",24.14B
ETAC,E.merge Technology Acquisition,Blank Check / SPAC,752.09M
ETD,Ethan Allen Interiors,"Furnishings, Fixtures & Appliances",606.11M
ETN,Eaton,Electrical Equipment,68.50B
ETNB,89bio,Biotechnology,294.50M
ETON,Eton Pharmaceuticals,Pharmaceuticals,105.53M
ETR,Entergy,Electric Utilities,21.37B
ETRN,Equitrans Midstream,"Oil, Gas & Consumable Fuels",4.51B
ETSY,"Etsy, Inc.",Internet & Direct Marketing Retail,35.77B
ETTX,Entasis Therapeutics,Biotechnology,122.91M
ETWO,E2open Parent Holdings,Software-Infrastructure,3.51B
EUCR,Eucrates Biomedical Acquisition,Blank Check / SPAC,132.17M
EURN,Euronav,"Oil, Gas & Consumable Fuels",1.93B
EUSG,European Sustainable Growth Acquisition,Blank Check / SPAC,180.65M
EVA,Enviva Partners,"Oil, Gas & Consumable Fuels",4.28B
EVAX,Evaxion Biotech,Biotechnology,116.59M
EVBG,Everbridge,Software,4.13B
EVBN,Evans Bancorp,Banks,216.49M
EVC,Entravision Communications,Media,663.76M
EVCM,EverCommerce,Software-Infrastructure,3.27B
EVER,EverQuote,Interactive Media & Services,423.49M
EVFM,Evofem Biosciences,Pharmaceuticals,75.52M
EVGN,Evogene,Biotechnology,86.19M
EVGO,EVgo,Specialty Retail,943.07M
EVH,Evolent Health,Health Care Technology,2.49B
EVI,EVI Industries,Trading Companies & Distributors,454.55M
EVK,Ever-Glory International Group,"Textiles, Apparel & Luxury Goods",44.95M
EVLO,Evelo Biosciences,Biotechnology,456.55M
EVLV,Evolv Technologies,Security & Protection Services,813.77M
EVO,Evotec,Biotechnology,8.20B
EVOJ,Evo Acquisition,Blank Check / SPAC,152.35M
EVOK,Evoke Pharma,Pharmaceuticals,25.79M
EVOL,Evolving Systems,Software,29.42M
EVOP,EVO Payments,IT Services,1.01B
EVR,Evercore,Capital Markets,5.83B
EVRG,Evergy,Electric Utilities,15.25B
EVRI,Everi Holdings,"Hotels, Restaurants & Leisure",1.98B
EVTC,Evertec,IT Services,3.08B
EW,Edwards Lifesciences,Health Care Equipment & Supplies,69.79B
EWBC,East West Bancorp,Banks,11.80B
EWCZ,European Wax Center,Household & Personal Products,900.86M
EWTX,Edgewise Therapeutics,Biotechnology,1.07B
EXAI,Exscientia,Biotechnology,2.37B
EXAS,Exact Sciences,Biotechnology,14.31B
EXC,Exelon,Electric Utilities,53.06B
EXEL,Exelixis,Biotechnology,5.48B
EXFY,Expensify,Software-Application,3.56B
EXK,Endeavour Silver,Metals & Mining,865.94M
EXLS,ExlService Holdings,IT Services,4.39B
EXN,Excellon Resources,Other Industrial Metals & Mining,42.62M
EXP,Eagle Materials,Construction Materials,6.66B
EXPD,Expeditors International,Air Freight & Logistics,21.74B
EXPE,Expedia,Internet & Direct Marketing Retail,26.81B
EXPI,eXp World Holdings,Real Estate Management & Development,5.42B
EXPO,Exponent,Professional Services,6.43B
EXPR,Express,Specialty Retail,298.39M
EXR,Extra Space Storage,"Equity Real Estate 
Investment Trusts...",26.99B
EXTN,Exterran,Energy Equipment & Services,123.89M
EXTR,Extreme Networks,Communications Equipment,1.72B
EYE,National Vision Holdings,Specialty Retail,4.16B
EYEN,Eyenovia,Pharmaceuticals,101.10M
EYES,Second Sight Medical Products,Health Care Equipment & Supplies,81.97M
EYPT,EyePoint Pharmaceuticals,Pharmaceuticals,509.25M
EZFL,EzFill Holdings,Software-Application,62.93M
EZGO,EZGO Technologies,Recreational Vehicles,30.69M
EZPW,"EZCORP, Inc.",Consumer Finance,457.70M
F,Ford Motor,Automobiles,80.44B
FA,First Advantage,Specialty Business Services,2.85B
FACA,Figure Acquisition I,Blank Check / SPAC,406.20M
FACT,Freedom Acquisition I,Blank Check / SPAC,420.04M
FAF,First American Financial,Insurance,8.49B
FAMI,Farmmi,Food Products,76.12M
FANG,Diamondback Energy,"Oil, Gas & Consumable Fuels",20.06B
FANH,Fanhua,Insurance,756.02M
FARM,Farmer Brothers,Food Products,128.38M
FARO,FARO Technologies,"Electronic Equipment, Instruments & C...",1.36B
FAST,Fastenal,Trading Companies & Distributors,34.96B
FAT,FAT Brands,"Hotels, Restaurants & Leisure",187.31M
FATBB,FAT Brands,"Hotels, Restaurants & Leisure",175.34M
FATE,Fate Therapeutics,Biotechnology,4.81B
FB,Meta Platforms,Interactive Media & Services,935.71B
FBC,Flagstar Bancorp,Thrifts & Mortgage Finance,2.59B
FBHS,Fortune Brands,Building Products,14.57B
FBIO,Fortress Biotech,Biotechnology,295.61M
FBIZ,First Business Financial Services,Banks,251.63M
FBK,FB Financial,Banks,2.22B
FBMS,First Bancshares,Banks,876.31M
FBNC,First Bancorp,Banks,1.73B
FBP,First BanCorp - Puerto Rico,Banks,3.00B
FBRT,Franklin BSP Realty Trust,n/a,718.17M
FBRX,Forte Biosciences,Biotechnology,40.13M
FC,Franklin Covey,Professional Services,670.13M
FCAP,First Capital,Banks,140.02M
FCAX,Fortress Capital Acquisition,Blank Check / SPAC,491.50M
FCBC,First Community Bancshares,Banks,615.59M
FCCO,First Community,Banks,164.05M
FCCY,1st Constitution Bancorp,Banks,265.89M
FCEL,FuelCell Energy,Electrical Equipment,3.39B
FCF,First Commonwealth Financial,Banks,1.53B
FCFS,FirstCash,Consumer Finance,2.72B
FCN,FTI Consulting,Professional Services,5.22B
FCNCA,First Citizens BancShares,Banks,8.60B
FCPT,Four Corners Property Trust,"Equity Real Estate 
Investment Trusts...",2.20B
FCRD,First Eagle Alternative Capital,Asset Management,143.62M
FCUV,Focus Universal,"Electronic Equipment, Instruments & C...",420.96M
FCX,Freeport-McMoRan,Metals & Mining,56.86B
FDBC,Fidelity D&D Bancorp,Banks,294.42M
FDMT,4D Molecular Therapeutics,Biotechnology,713.16M
FDP,Fresh Del Monte Produce,Food Products,1.31B
FDS,FactSet Research Systems,Capital Markets,17.24B
FDUS,Fidus Investment,Capital Markets,452.34M
FDX,FedEx,Air Freight & Logistics,65.43B
FE,FirstEnergy,Electric Utilities,21.20B
FEDU,Four Seasons Education,Diversified Consumer Services,65.23M
FEIM,Frequency Electronics,"Electronic Equipment, Instruments & C...",89.09M
FELE,Franklin Electric,Machinery,4.44B
FEMY,Femasys,Medical Instruments & Supplies,53.33M
FENC,Fennec Pharmaceuticals,Biotechnology,248.83M
FENG,Phoenix New Media,Interactive Media & Services,78.74M
FERG,Ferguson,Industrial Distribution,35.21B
FET,Forum Energy Technologies,Energy Equipment & Services,107.47M
FF,FutureFuel,Chemicals,358.42M
FFBC,First Financial Bancorp,Banks,2.38B
FFBW,"FFBW, Inc.",Thrifts & Mortgage Finance,82.85M
FFHL,Fuwei Films,Chemicals,27.43M
FFIC,Flushing Financial,Banks,751.72M
FFIE,Faraday Future Intelligent Electric,Auto Manufacturers,2.11B
FFIN,First Financial Bankshares,Banks,7.72B
FFIV,F5 Networks,Communications Equipment,13.90B
FFNW,First Financial Northwest,Banks,158.24M
FFWM,First Foundation,Banks,1.27B
FGBI,First Guaranty Bancshares,Banks,224.05M
FGEN,FibroGen,Biotechnology,1.10B
FGF,FG Financial Group,Insurance,21.05M
FHB,First Hawaiian,Banks,3.64B
FHI,Federated Hermes,Asset Management,3.48B
FHN,First Horizon,Banks,9.35B
FHS,First High-School Education Group,Education & Training Services,75.26M
FHTX,Foghorn Therapeutics,Biotechnology,447.32M
FIBK,First Interstate BancSystem,Banks,2.71B
FICO,Fair Isaac,Software,9.47B
FICV,Frontier Investment,Blank Check / SPAC,242.25M
FIGS,FIGS,Apparel Manufacturing,5.04B
FINM,Marlin Technology,Blank Check / SPAC,505.60M
FINV,FinVolution Group,Consumer Finance,1.71B
FINW,FinWise Bancorp,State Commercial Banks,160.79M
FIS,Fidelity National Information Services,IT Services,65.91B
FISI,Financial Institutions,Banks,523.44M
FISV,Fiserv,IT Services,63.05B
FITB,Fifth Third Bancorp,Banks,30.56B
FIVE,Five Below,Specialty Retail,11.66B
FIVN,Five9,Software,8.98B
FIX,Comfort Systems USA,Construction & Engineering,3.68B
FIXX,Homology Medicines,Biotechnology,291.72M
FIZZ,National Beverage,Beverages,5.39B
FKWL,Franklin Wireless,Communications Equipment,46.15M
FL,Foot Locker,Specialty Retail,5.33B
FLAC,Frazier Lifesciences Acquisition,Blank Check / SPAC,174.14M
FLAG,First Light Acquisition Group,Blank Check / SPAC,283.19M
FLDM,Fluidigm,Life Sciences Tools & Services,326.59M
FLEX,Flex Ltd.,"Electronic Equipment, Instruments & C...",8.87B
FLGC,Flora Growth,Drug Manufacturers-Specialty & Generic,90.35M
FLGT,Fulgent Genetics,Health Care Providers & Services,2.61B
FLIC,First of Long Island,Banks,525.25M
FLL,Full House Resorts,"Hotels, Restaurants & Leisure",344.33M
FLME,Flame Acquisition,Blank Check / SPAC,351.11M
FLMN,Falcon Minerals,"Oil, Gas & Consumable Fuels",240.23M
FLNC,Fluence Energy,Utilities-Renewable,2.00B
FLNG,Flex LNG,Marine,1.25B
FLNT,Fluent,Media,162.63M
