Symbol,Company,Industry,Market Cap
ADRA,Adara Acquisition,Blank Check / SPAC,141.88M
ADS,Alliance Data Systems,IT Services,3.77B
ADSK,Autodesk,Software,66.31B
ADT,ADT Inc.,Commercial Services & Supplies,7.37B
ADTN,"ADTRAN, Inc.",Communications Equipment,1.05B
ADTX,Aditx,Biotechnology,28.31M
ADUS,Addus HomeCare,Health Care Providers & Services,1.61B
ADV,Advantage Solutions,Advertising Agencies,2.58B
ADVM,Adverum Biotechnologies,Biotechnology,194.34M
ADXN,Addex Therapeutics,Biotechnology,41.12M
ADXS,Advaxis,Biotechnology,52.25M
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",124.34M
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,292.80M
AEE,Ameren,Multi-Utilities,22.17B
AEG,Aegon,Insurance,9.59B
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,126.00M
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,15.84M
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,466.87M
AEI,Alset Ehome International,Real Estate-Development,68.13M
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3.34B
AEL,American Equity Investment Life,Insurance,3.41B
AEM,Agnico Eagle Mines,Metals & Mining,12.71B
AEMD,Aethlon Medical,Health Care Equipment & Supplies,38.80M
AENZ,Aenza,Engineering & Construction,260.08M
AEO,American Eagle Outfitters,Specialty Retail,4.84B
AEP,American Electric Power,Electric Utilities,41.84B
AER,AerCap Holdings,Trading Companies & Distributors,15.42B
AERI,Aerie Pharmaceuticals,Pharmaceuticals,455.11M
AES,AES Corporation,Independent Power and Renewable Elect...,16.71B
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",76.33M
AEVA,Aeva Technologies,Auto Parts,2.03B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",24.15M
AEYE,AudioEye,Software,84.25M
AEZS,AEterna Zentaris,Biotechnology,59.09M
AFAQ,AF Acquisition,Blank Check / SPAC,273.00M
AFBI,Affinity Bancshares,Banks,102.33M
AFCG,AFC Gamma,REIT-Specialty,388.13M
AFG,American Financial Group,Insurance,12.28B
AFI,Armstrong Flooring,Building Products,46.24M
AFIB,Acutus Medical,Medical Devices,93.33M
AFIN,American Finance Trust,"Equity Real Estate 
Investment Trusts...",1.04B
AFL,Aflac,Insurance,37.48B
AFMD,Affimed N.V.,Biotechnology,805.04M
AFRM,Affirm Holdings,IT Services,35.41B
