,,KNN,Logistic Regression,Random Forest,SGD Classifier,SVM,Average Accuracy,Symbol
,,0.49049881235154397,0.5415676959619953,0.5142517814726841,0.4857482185273159,0.5344418052256532,0.5133016627078385,A
,,0.5190023752969121,0.5403800475059383,0.505938242280285,0.4833729216152019,0.5368171021377672,0.5171021377672209,AA
,,0.5111111111111111,0.5777777777777777,0.5111111111111111,0.6444444444444445,0.5777777777777777,0.5644444444444444,AAC
,,0.501187648456057,0.5403800475059383,0.5130641330166271,0.48693586698337293,0.5380047505938242,0.5159144893111639,AACG
,,0.5125448028673835,0.4767025089605735,0.5017921146953405,0.5591397849462365,0.5017921146953405,0.5103942652329748,AADI
,,0.504750593824228,0.5415676959619953,0.5320665083135392,0.5427553444180523,0.5320665083135392,0.5306413301662708,AAIC
,,0.5106888361045131,0.5581947743467933,0.501187648456057,0.47980997624703087,0.5249406175771971,0.5149643705463183,AAL
,,0.4813153961136024,0.5246636771300448,0.5142002989536621,0.5411061285500748,0.5440956651718983,0.5210762331838564,AAMC
,,0.48693586698337293,0.5498812351543944,0.5166270783847982,0.5427553444180523,0.5296912114014252,0.5251781472684085,AAME
,,0.463768115942029,0.5507246376811594,0.5072463768115942,0.6086956521739131,0.5797101449275363,0.5420289855072464,AAN
,,0.5131147540983606,0.5409836065573771,0.4918032786885246,0.4885245901639344,0.5377049180327869,0.5144262295081967,AAOI
,,0.502375296912114,0.5451306413301663,0.5296912114014252,0.5,0.5332541567695962,0.5220902612826603,AAON
,,0.5237529691211401,0.5427553444180523,0.5071258907363421,0.5,0.5356294536817102,0.521852731591449,AAP
,,0.501187648456057,0.5332541567695962,0.5118764845605701,0.4833729216152019,0.5308788598574822,0.5121140142517815,AAPL
,,0.45714285714285713,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4342857142857143,AAQC
,,0.5012285012285013,0.527027027027027,0.515970515970516,0.4864864864864865,0.5135135135135135,0.5088452088452089,AAT
,,0.5166270783847982,0.5415676959619953,0.5154394299287411,0.4513064133016627,0.5356294536817102,0.5121140142517815,AATC
,,0.504750593824228,0.5380047505938242,0.504750593824228,0.4691211401425178,0.5439429928741093,0.5121140142517815,AAU
,,0.5154394299287411,0.5296912114014252,0.504750593824228,0.4655581947743468,0.5332541567695962,0.5097387173396675,AAWW
